Date,Division,CPI Division,Daily Change (%)
2024-07-18,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.6822,0.0
2024-07-18,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-18,RESTAURANTS AND ACCOMODATION SERVICES,94.1865,0.3149
2024-07-18,TRANSPORT,100.9164,0.0
2024-07-19,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.577,-0.0719
2024-07-19,CLOTHING AND FOOTWEAR,109.6997,-0.6892
2024-07-19,EDUCATION SERVICES,98.9399,0.0
2024-07-19,FOOD AND NON-ALCOHOLIC BEVERAGES,99.8008,0.5745
2024-07-19,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.2513,0.0
2024-07-19,HEALTH,98.0543,0.0
2024-07-19,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2626,-0.0002
2024-07-19,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-19,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",103.3228,1.6135
2024-07-19,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-19,RESTAURANTS AND ACCOMODATION SERVICES,94.1865,0.0
2024-07-19,TRANSPORT,100.9164,0.0
2024-07-20,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.6118,0.036
2024-07-20,CLOTHING AND FOOTWEAR,109.6997,0.0
2024-07-20,EDUCATION SERVICES,98.9399,0.0
2024-07-20,FOOD AND NON-ALCOHOLIC BEVERAGES,99.8008,0.0
2024-07-20,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.2513,0.0
2024-07-20,HEALTH,98.0543,0.0
2024-07-20,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2626,0.0
2024-07-20,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-20,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",103.3228,0.0
2024-07-20,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-20,RESTAURANTS AND ACCOMODATION SERVICES,94.1865,0.0
2024-07-20,TRANSPORT,100.9164,0.0
2024-07-21,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.577,-0.036
2024-07-21,CLOTHING AND FOOTWEAR,109.6997,0.0
2024-07-21,EDUCATION SERVICES,98.9399,0.0
2024-07-21,FOOD AND NON-ALCOHOLIC BEVERAGES,99.8008,0.0
2024-07-21,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.2513,0.0
2024-07-21,HEALTH,98.0543,0.0
2024-07-21,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2626,0.0
