product_name,product_price,date_time_scraped,product_subclass,retailer,subclass_average
ΝουνούΓάλαΖαχαρούχο397g,1.84,2023-04-30 01:51:16.174386,Other milk products,SupermarketCy,0
ΝουνούLight10X15g,1.15,2023-04-30 01:51:16.174386,Other milk products,SupermarketCy,0
ΧαραλαμπίδηςΚρίστηςΚρέμαΓάλακτος250ml,2.5,2023-04-30 01:51:16.174387,Other milk products,SupermarketCy,0
HeinzΣούπαΝτομάτας400g,2.28,2023-04-30 01:51:52.455940,Other food products n.e.c.,SupermarketCy,0
ΦρουΦρουJoker9Τεμ9+3Δωρεάν,3.7,2023-04-30 01:51:52.455945,Other food products n.e.c.,SupermarketCy,0
ΦρουΦρουMorningCoffee150g,1.25,2023-04-30 01:51:52.455946,Other food products n.e.c.,SupermarketCy,0
KinderCards5Τεμ128g,2.25,2023-04-30 01:51:52.455946,Other food products n.e.c.,SupermarketCy,0
Oreo154g,1.55,2023-04-30 01:51:52.455947,Other food products n.e.c.,SupermarketCy,0
ΠαπαδοπούλουΓεμιστάΣοκολάτα200g,1.49,2023-04-30 01:51:52.455947,Other food products n.e.c.,SupermarketCy,0
HeinzΣούπαΜανιταριών400g,NaN,2023-04-30 01:51:52.455948,Other food products n.e.c.,SupermarketCy,0
SweetFamilyΛευκήΚρυσταλλικήΖάχαρη1kg,1.49,2023-04-30 01:51:53.443544,Sugar,SupermarketCy,0
ΜιτσίδηΑλεύριΓιαΌλεςΤιςΧρήσεις1kg,1.37,2023-04-30 01:52:15.968823,Flours and other cereals,SupermarketCy,0
ΜιτσίδηΑλεύριΧωριάτικο1kg,1.55,2023-04-30 01:52:15.968827,Flours and other cereals,SupermarketCy,0
ΜιτσίδηΑλεύριΦαρίναΖαχαροπλαστικής1kg,1.59,2023-04-30 01:52:15.968827,Flours and other cereals,SupermarketCy,0
ΑδελφοίΚαζάζηΑλεύριΦαρίνα001kg,1.29,2023-04-30 01:52:15.968828,Flours and other cereals,SupermarketCy,0
ΑδελφοίΚαζάζηΑλεύριΧωριάτικο1kg,1.29,2023-04-30 01:52:15.968829,Flours and other cereals,SupermarketCy,0
ΜιτσίδηΑλεύριΦαρίνα&#039;&#039;00&#039;&#039;1kg,NaN,2023-04-30 01:52:15.968829,Flours and other cereals,SupermarketCy,0
BakandysΆσπρηΣοκολάταΚουβερτούρα4x37.5g,1.86,2023-04-30 01:52:36.562280,Chocolate,SupermarketCy,0
BakandysΣοκολάταΓάλακτοςΚουβερτούρα4X37.5g,NaN,2023-04-30 01:52:36.562284,Chocolate,SupermarketCy,0
ΜοναμίΜαγειρικήΣόδα10X7g,0.88,2023-04-30 01:52:40.292293,Confectionery products,SupermarketCy,0
RoyalBakingPowder226g,2.1,2023-04-30 01:52:40.292298,Confectionery products,SupermarketCy,0
ΣτέλλαΑνθόνεροΚιτρόμηλο500ml,1.1,2023-04-30 01:52:40.292298,Confectionery products,SupermarketCy,0
ΑμαλίαΝησιαστέ400g,0.99,2023-04-30 01:52:40.292300,Confectionery products,SupermarketCy,0
CarltonaΆμυλοΑραβοσίτου450g,2.45,2023-04-30 01:52:40.292301,Confectionery products,SupermarketCy,0
BakandysΣαβουαγιάρ200g,2.0,2023-04-30 01:52:40.292301,Confectionery products,SupermarketCy,0
ΓιώτηςΜαγιάΣτιγμής3x8g,1.25,2023-04-30 01:52:40.292302,Confectionery products,SupermarketCy,0
SeranoΙνδοκάρυδοΑλεσμένο140g1+1Δωρεάν,1.25,2023-04-30 01:52:40.292302,Confectionery products,SupermarketCy,0
SpryΦυτικόΜαγειρικόΠροιόν350g,3.3,2023-04-30 01:52:40.292303,Confectionery products,SupermarketCy,0
ΑγρούΡοδόσταγμα500ml,4.99,2023-04-30 01:52:40.292303,Confectionery products,SupermarketCy,0
Ντομάτες1kg,2.6,2023-04-30 01:52:46.532318,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
ΑγγουράκιαΧωραφιού1kg,2.45,2023-04-30 01:52:46.532322,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
Λεμόνια1kg,1.55,2023-04-30 01:52:46.532322,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
ΚρεμμύδιαΑκαθάριστα1kg,1.55,2023-04-30 01:52:46.532323,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
Αγγουράκια1kg,1.8,2023-04-30 01:52:46.532324,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
ΝτοματίνιαΜίνιΦοινικωτά500g,2.65,2023-04-30 01:52:46.532324,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
ΚαρόταΑκαθάριστα1kg,1.35,2023-04-30 01:52:46.532325,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
Αβοκάντο1kg,4.3,2023-04-30 01:52:46.532325,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
ΜαρούλιΡομάναΔέσμη1Τεμ,0.55,2023-04-30 01:52:46.532326,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
ΠιπεριέςΧρωματιστές4Τεμ,4.6,2023-04-30 01:52:46.532326,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
Σκόρδος1Τεμ,1.0,2023-04-30 01:52:46.532327,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
ΜπανάνεςΕισαγωγής1kg,NaN,2023-04-30 01:52:46.532327,Fresh or chilled vegetables other than potatoes and other tubers,SupermarketCy,0
ΦρέσκεςΠατάτεςΚυπριακέςΝέαςΣoδειάς2kg,2.3,2023-04-30 01:52:47.532253,Potatoes,SupermarketCy,0
ΜπανάνεςΕισαγωγής1kg,2.1,2023-04-30 01:52:50.648588,Fresh or chilled fruit,SupermarketCy,0
ΜήλαPinkLady1kg,3.95,2023-04-30 01:52:50.648592,Fresh or chilled fruit,SupermarketCy,0
ΠράσινοΣταφύλι750g,4.3,2023-04-30 01:52:50.648593,Fresh or chilled fruit,SupermarketCy,0
ΜήλαGrannySmith1kg,2.75,2023-04-30 01:52:50.648593,Fresh or chilled fruit,SupermarketCy,0
ΑχλάδιαConference1kg,2.65,2023-04-30 01:52:50.648594,Fresh or chilled fruit,SupermarketCy,0
ΜήλαΚόκκιναDelicious1kg,2.75,2023-04-30 01:52:50.648595,Fresh or chilled fruit,SupermarketCy,0
Μύρτιλα125g,3.5,2023-04-30 01:52:50.648596,Fresh or chilled fruit,SupermarketCy,0
